,Ticker,Name ,RetYTD,ggroup,Industry
528,DIN,Dineequity Inc ,-0.0272,2530,Consumer Services
529,DIOD,Diodes Inc ,-0.3615,4530,Semiconductors & Semiconductor Equipment
530,DIS,Walt Disney Company ,-0.1577,5020,
531,DISH,Dish Network Corp ,0.0231,5020,
532,DJCO,Daily Journal Cp ,-0.2078,5020,
533,DK,Delek US Holdings ,0.567,1010,Energy
534,DKS,Dick's Sporting Goods Inc ,-0.0855,2550,Retailing
535,DLB,Dolby Laboratories ,-0.1826,4510,Software & Services
536,DLR,Digital Realty Trust ,-0.1801,6010,Real Estate
537,DLTR,Dollar Tree Inc ,0.2315,2550,Retailing
538,DLX,Deluxe Corp ,-0.0794,2020,Commercial  & Professional Services
539,DLX,Deluxe Corp ,-0.0794,2020,Commercial  & Professional Services
540,DMRC,Digimarc Corp ,-0.3265,4510,Software & Services
541,DNOW,Now Inc ,0.2787,2010,Capital Goods
542,DOC,Physicians Realty Trust ,-0.0632,6010,Real Estate
543,DOOR,Masonite Worldwide Holdings ,-0.3568,2010,Capital Goods
544,DORM,Dorman Products Inc ,-0.1687,2510,Automobiles & Components
545,DOV,Dover Corp ,-0.1939,2010,Capital Goods
546,DOX,Amdocs Ltd Ord ,0.1053,4510,Software & Services
547,DPZ,Domino's Pizza Inc ,-0.3138,2530,Consumer Services
548,DRE,Duke Realty Corp ,-0.1126,6010,Real Estate
549,DRH,Diamondrock Hospitality Company ,0.0437,6010,Real Estate
550,DRI,Darden Restaurants ,-0.1274,2530,Consumer Services
551,DRQ,Dril-Quip ,0.8044,1010,Energy
552,DRRX,Durect Corp ,-0.5168,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
553,DTE,Dte Energy Company ,0.1475,5510,Utilities
554,DUK,Duke Energy Corp ,0.0949,5510,Utilities
555,DVA,Davita Healthcare Partners Inc ,0.0676,3510,Health Care Equipment & Services
556,DVAX,Dynavax Technologies ,-0.253,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
557,DVN,Devon Energy Corp ,0.4202,1010,Energy
558,DX,Dynex Capital ,-0.0479,4020,Diversified Financials
559,DXCM,Dexcom ,-0.0835,3510,Health Care Equipment & Services
560,DXPE,Dxp Enterprise ,-0.021,2010,Capital Goods
561,DY,Dycom Industries ,0.01,2010,Capital Goods
562,DZSI,Dasan Zhone Solutions Inc ,-0.2269,4520,Technology Hardware & Equipment
563,EA,Electronic Arts Inc ,-0.0705,5020,
564,EAT,Brinker International ,-0.0156,2530,Consumer Services
565,EBAY,Ebay Inc ,-0.1857,2550,Retailing
566,EBF,Ennis Inc ,-0.0661,2020,Commercial  & Professional Services
567,EBF,Ennis Inc ,-0.0661,2020,Commercial  & Professional Services
568,EBIX,Ebix Inc ,0.0563,4510,Software & Services
569,EBS,Emergent Biosolutions ,-0.0476,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
570,EBTC,Enterprise Bancorp ,-0.1589,4010,Banks
571,ECL,Ecolab Inc ,-0.2472,1510,Materials
572,ECOL,US Ecology Inc ,0.5009,2020,Commercial  & Professional Services
573,ECOL,US Ecology Inc ,0.5009,2020,Commercial  & Professional Services
574,ECOM,Channeladvisor Corp ,-0.3918,4510,Software & Services
575,ECPG,Encore Capital Group ,-0.0436,4020,Diversified Financials
576,ED,Consolidated Edison Company of New York ,0.149,5510,Utilities
577,EDIT,Editas Medicine ,-0.3721,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
578,EEFT,Euronet Worldwide ,0.1154,4510,Software & Services
579,EFC,Ellington Financial Llc ,0.0012,4020,Diversified Financials
580,EFSC,Enterprises Finl Svc ,-0.0321,4010,Banks
581,EFX,Equifax Inc ,-0.261,2020,Commercial  & Professional Services
