,Ticker,Book/Price,E/P,EBIT/P,SALES/P,Total assets turnover,LT_Debit/Total_assets,ROA,RE/Total_Assets,NET PROFIT MARGIN,Market_Value/Book_Equity,SALES/PS
498,SKYW,1.1452472658179516,0.05652208608973834,-0.0314202392605006,1.3704956831894397,0.3807902304072708,0.4035525383503413,-0.008730067736961838,0.3036671476787577,-0.022926186230210456,0.8731738811755958,1.3704956831894397
499,TOL,0.7326278839067206,0.11534194839863006,0.14715501127861333,1.236394508102378,0.7744915213839667,0.2527423220097332,0.0921795655169724,0.4308383277647049,0.11901946370213767,1.3649494128827366,1.236394508102378
500,POR,0.572107274404227,0.05156785184877406,0.07988790163457621,0.5063793976625518,0.2523699178428481,0.3770802612176111,0.039814619759848326,0.1544133136717927,0.15776293823038398,1.7479239379386775,0.5063793976625518
501,IT,0.013470013847260487,0.028807529250500005,0.035261343672524356,0.1718505831767674,0.638316502892808,0.4253588435456704,0.13097364678242213,0.40014379091312624,0.20518605768276127,36.84245076874306,0.1718505831767674
502,WTS,0.17977708530194375,0.025391291369359085,0.03967293503637337,0.27723551204251334,0.9749946109075233,0.10012933821944385,0.1395236042250485,0.290256520801897,0.14310192350210035,5.5624441697920215,0.27723551204251334
503,NVR,0.1474075235998234,0.06071909838762806,0.08069177604778002,0.4404024496438752,1.5374240184421049,0.17253977435844697,0.2816911547311455,1.7221496364282989,0.18322281384454198,6.783914250637327,0.4404024496438752
504,INT,1.1711371363808085,0.045126160376047254,0.0942322399168748,19.187496441033822,2.37051023569719,0.10297186322024772,0.0258986268174475,0.29348411416262793,0.0049111274212592145,0.8538709677419355,3.972782251107811
505,CLFD,0.1712510544020316,0.03352808775264001,0.041621870731053175,0.2321663792799156,1.1178927972933261,0.012834462437753652,0.2004114017043785,0.36089777700121517,0.17927604703207703,5.839380104792726,0.2321663792799156
506,ADBE,0.0465053055868753,0.015155003280388775,0.01823503298067517,0.04961047838675587,0.5794574354832789,0.1679820858265115,0.21298777577915642,0.8725083513821078,0.3675641431738993,21.502922889774954,0.04961047838675587
507,JOE,0.1981848960027606,0.024325089933955223,0.030590954850077665,0.08688683418578112,0.2204161565896978,0.3294993754919708,0.07760371013225996,0.25703409590357496,0.3520781386126716,5.045793197005642,0.08688683418578112
508,DJCO,0.5755496337281972,0.23173030579048096,0.004864035295899248,0.1116309661845576,0.1264513783453711,0.0858575901806814,0.00550979704386075,0.6474318764289756,0.043572455405049705,1.737469614084142,0.1116309661845576
509,PTSI,0.2723621197488436,0.09643264982972799,0.1313969841418476,0.891179038993116,1.2038523547748397,0.2947882209332614,0.17749808046225535,0.5130400881199767,0.1474417354904401,3.671582527416593,0.891179038993116
510,CNO,1.3664087656529518,0.15366990387477095,0.2319335329230103,1.4364128747224054,0.11385908895051429,0.11195600534741634,0.018384505750682237,0.08491509319309255,0.16146717772063462,0.545618134114113,1.4364128747224054
511,MHO,0.9165151540801182,0.22394971023570504,0.2924706426729416,2.1137766416685007,1.1561904197505257,0.2293557763268889,0.15997515936679843,0.41524137051897103,0.13836402432855022,1.0910894332169263,2.1137766416685007
512,MRTN,0.4573610354508369,0.05995522097065586,0.0669495756575683,0.6833244506104936,1.118244151190435,0.0003342176894187368,0.10956138235192778,0.6490587924519634,0.09797626237105143,2.186456480741226,0.6833244506104936
513,FISV,0.4587962379657148,0.01977365538402247,0.0339146353213219,0.24051524157507392,0.21280279085627352,0.2799249826227229,0.030006950910831616,0.18493357289931672,0.14100825835079503,2.179616826053244,0.24051524157507392
514,KBH,0.8558704982242133,0.16007731158235508,0.19044672246363037,1.622731995263662,0.9809819123572333,0.23319518882890403,0.11512978763580983,0.4044342295419504,0.1173617843362277,1.1684010630987176,1.622731995263662
515,CVM,0.1190578228806922,-0.07657447726615574,-0.07622278348151156,0.0,0.00013240758364435325,0.20131804402267034,-0.4770528535653091,-5.512007381046527,-714.5645161290322,8.399280079244349,6.049714283337612e-05
516,UNM,1.3664087656529518,0.16564273850189884,0.2699683215598164,2.4148629183342827,0.171371278288997,0.050271266308781495,0.019158361334710106,0.17410248218656046,0.11179447061369198,0.4358439595669389,2.4148629183342827
517,PPC,0.3750300218439111,0.004511280471371181,0.13068495557232782,2.15049218360993,1.657928657536767,0.3884715991610201,0.10075197417763869,0.10720857424461795,0.060769788687607844,2.6664531950890153,2.15049218360993
518,JJSF,0.2899633450896543,0.019066889922356434,0.024856185684563818,0.3924606938054706,1.019924809685097,0.0418358626970315,0.06459612606808475,0.6879735595280422,0.0633342041047407,3.4487117662779343,0.3924606938054706
519,HTLD,0.5477290174826094,0.05971970001316023,0.051201335698809074,0.45746961038878864,0.6540188812137738,0.0,0.07319970448294207,0.9955123193135044,0.11192292238886582,1.825720325346375,0.45746961038878864
520,CERN,0.13532613060946713,0.02042859207949912,0.036498170688403095,0.21196559713552013,0.7754508311499432,0.22577082703918855,0.13352420005063115,0.8910402496153565,0.1721891249411951,7.3895558492384925,0.21196559713552013
521,ICAD,0.25698864138601607,-0.06212432599664103,-0.05929019711835941,0.1858370900733669,0.5408821212072485,0.004277146210866524,-0.17256516216172757,-4.071007058899197,-0.3190439384029966,3.8912225637938818,0.1858370900733669
522,MKL,0.8383813398353382,0.1441575999079295,0.19330832543885684,0.7631447195463434,0.26497080447662075,0.09151008818245612,0.06711841305016303,0.22006868024527135,0.2533049374354189,1.192774639040039,0.7631447195463434
