gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dltt,dt,ebit,ebitda,icapt,lct,lt,ni,re,sale,xad,costat,prcc_c,mkvalt
29191,20211231,2021,INDL,C,D,STD,ICHR,USD,462.771,1020.876,500.715,28.551,307.607,322.74,90.048,116.04,808.322,208.303,520.161,70.899,174.852,1096.917,,A,46.03,1314.2025
29206,20211231,2021,INDL,C,D,STD,FWRD,USD,282.807,1117.823,593.654,26.969,266.446,320.066,159.239,198.791,860.1,164.692,524.169,105.929,334.91,1662.427,,A,121.09,3265.6762
29217,20210831,2021,INDL,C,D,STD,SCHN,USD,543.114,1494.363,835.764,27.532,184.464,209.535,211.131,269.73,1024.243,352.85,654.584,165.112,759.158,2758.551,6,A,51.92,1302.5389
29241,20210630,2021,INDL,C,D,STD,VIAV,USD,1112.1,1961.4,774.8,228.3,302.5,728.4,138.7,241.1,1077.3,705,1186.6,46.1,-69399.9,1198.9,2.7,A,17.62,4031.778
29251,20210430,2020,INDL,C,D,STD,KALV,USD,264.264,272.013,257.193,24.423,5.046,5.909,-57.923,-57.386,262.239,9.774,14.82,-46.244,-169.268,0,,A,18.99,609.8423
29282,20211231,2021,INDL,C,D,STD,NYCB,USD,,59527,6541,465.016,13061,,935,956,20105,,52483,596,656,1750,0,A,12.21,5677.8454
29359,20211231,2021,INDL,C,D,STD,SUI,USD,,13494.084,6623.895,115.976,5663.203,5805.162,463.371,,12682.69,,6474.597,380.152,-1552.941,2276.597,9.9,A,209.97,24351.4807
29382,20211231,2021,INDL,C,D,STD,SHOO,USD,944.66,1355.542,812.098,80.557,80.072,110.831,251.831,267.039,900.61,435.19,535.004,190.678,1391.523,1866.142,65.08,A,46.47,3743.4838
29389,20211231,2021,INDL,C,D,STD,SPG,USD,,33777.379,3319.689,328.62,23929.064,25327.953,3193.927,,28329.789,,29376.654,2249.631,-6008.894,5897.526,114.303,A,159.77,52503.6174
29392,20211231,2021,INDL,C,D,STD,EMN,USD,4646,15519,5704,128.917,4569,5366,1473,2003,10357,2971,9731,857,8375,10476,,A,120.91,15587.3545
29449,20211231,2021,INDL,C,D,STD,UFPT,USD,87.32,334.132,194.446,7.535,78.118,84.357,21.634,30.044,272.564,34.706,139.686,15.886,160.807,206.32,,A,70.26,529.4091
29453,20211231,2021,INDL,C,D,STD,LNG,USD,5056,39258,-2571,253.6,31047,31700,-696,315,31014,4693,39291,-2343,-6021,15864,,A,101.42,25720.112
29517,20211231,2021,INDL,C,D,STD,MED,USD,306.866,398.326,202.474,11.593,26.02,32.543,216.241,221.941,228.494,169.832,195.852,164.031,190.444,1526.087,1.6,A,209.43,2427.922
29609,20210630,2021,INDL,C,D,STD,HAIN,USD,577.055,2205.908,1522.883,99.069,316.421,327.821,197.893,241.115,1839.304,290.434,683.025,77.364,618.214,1970.302,20.706,A,42.61,3974.6483
29649,20211231,2021,INDL,C,D,STD,MAA,USD,,11285.182,5965.168,115.337,4422.114,4546.941,516.197,,10606.206,,5101.09,533.791,-1266.939,1829.411,23.9,A,229.44,
29684,20211231,2021,INDL,C,D,STD,JNCE,USD,190.827,252.696,223.805,51.265,9.993,13.688,-91.056,-88.229,233.798,18.898,28.891,-90.872,-242.111,26.907,,A,8.35,428.0628
29733,20211231,2021,INDL,C,D,STD,MLM,USD,2025.6,14393,6535.3,62.4,5671.3,5738.5,1028,1474.4,12208.9,752.6,7855.4,702.5,3064.3,5414,,A,440.52,27488.448
29736,20211231,2021,INDL,C,D,STD,TSCO,USD,3250.44,7767.467,2002.665,113.125,3594.112,3919.294,1369.998,1640.156,5596.777,2064.842,5764.802,997.114,4946.588,12731.105,95.4,A,238.6,26991.625
29751,20211231,2021,INDL,C,D,STD,ALB,USD,2007.981,10974.118,5625.266,117.015,2131.316,2164.339,577.79,831.79,7936.923,1874.335,5168.511,123.672,2704.089,3327.957,,A,233.77,27354.5966
29755,20210930,2021,INDL,C,D,STD,BZH,USD,,2078.81,724.884,31.294,1018.184,1068.184,146.869,160.845,1743.068,,1353.926,122.021,-141.305,2140.303,14,A,23.22,539.8215
29804,20211231,2021,INDL,C,D,STD,IVZ,USD,,32685.6,11485.3,461.2,9711,9711,1722.3,1927.6,26389.8,,16006.8,1629.8,6727.7,6894.5,,A,23.02,10616.824
29830,20210930,2021,INDL,C,D,STD,WRK,USD,5659.6,29254.3,11670.3,265,8563.2,8909.9,1373.1,2802.7,20254.9,3644.1,17562.6,838.3,608.8,18746.1,,A,44.36,13204.95
29837,20211231,2021,INDL,C,D,STD,BCRX,USD,566.136,588.151,-106.986,184.35,591.419,593.238,-168.82,-168.043,484.433,103.718,695.137,-184.062,-1207.327,157.17,5.705,A,13.85,2553.2475
29855,20211231,2021,INDL,C,D,STD,FMNB,USD,,4142.749,472.432,33.898,93.507,,89.872,93.411,565.939,,3670.317,51.844,183.191,154.652,1.859,A,18.55,628.8079
29868,20211231,2021,INDL,C,D,STD,MAC,USD,,8345.655,3046.867,214.797,3933.538,4728.064,141.057,,7109.687,,5169.506,14.263,-2443.72,863.126,,A,17.28,3711.6922
29875,20211231,2021,INDL,C,D,STD,AVB,USD,,19902.016,10932.527,139.752,8161.781,8270.044,644.936,,19098.242,,8965.555,1004.299,214.715,2333.435,,A,252.59,35299.9577
29901,20210731,2021,INDL,C,D,STD,CPRT,USD,1702.611,4562.143,3529.201,237.014,495.597,518.069,1136.426,1258.397,4024.798,421.031,1032.942,936.495,2767.343,2692.511,13.7,A,151.62,34841.058
29910,20210630,2021,INDL,C,D,STD,SCSC,USD,1219.643,1671.684,731.191,25.499,151.881,164.008,73.633,107.14,883.072,732.939,940.493,10.795,659.938,3150.806,,A,35.08,717.2869
29930,20210331,2020,INDL,C,D,STD,MPAA,USD,422.856,847.882,301.145,19.045,92.332,105.089,36.573,47.717,393.477,326.131,546.737,21.476,77.897,540.782,0.507,A,19.62,428.5125
29962,20211031,2021,INDL,C,D,STD,LMNR,USD,42.089,392.276,176.47,17.685,132.885,136.094,-6.224,3.588,332.13,35.324,193.031,-3.441,15.819,166.027,0.178,A,15,285.2591
29984,20211231,2021,INDL,C,D,STD,PLD,USD,,58486.22,33362.925,739.827,17177.758,18163.499,2022.535,,54919.968,,20744.01,2939.723,-2206.081,5164.566,,A,168.36,124557.2737
29994,20211231,2021,INDL,C,D,STD,FMBH,USD,,5986.582,633.894,18.08,190.363,,106.761,111.161,824.257,,5352.688,51.49,233.331,252.78,3.603,A,42.79,773.6432
30032,20210331,2020,INDL,C,D,STD,EXP,USD,661.689,2838.681,1358.99,42.371,1043.06,1049.403,369.119,497.985,2402.05,169.354,1479.691,339.444,1296.069,1622.642,,A,101.35,5695.0861
30055,20210630,2021,INDL,C,D,STD,SMBC,USD,,2700.53,283.423,8.905,51.3,,69.438,74.862,334.723,,2417.107,47.18,203.022,129.517,1.08,A,52.17,400.3688
30059,20210131,2020,INDL,C,D,STD,AEO,USD,1522.643,3434.806,1086.665,166.335,1474.032,1802.656,8.481,171.646,2560.697,858.482,2348.141,-209.274,1827.865,3759.113,150,A,20.07,3774.1412
30067,20211231,2021,INDL,C,D,STD,ADC,USD,,5226.906,3242.687,71.285,1710.336,1711.734,175.158,,5129.652,,1807.59,122.273,-152.869,339.323,,A,71.36,5086.8976
30098,20211231,2021,INDL,C,D,STD,IR,USD,4114.9,15154.5,9001.5,407.785,3462.8,3536.5,627.6,1049.7,12534,1467.7,6083.3,562.5,337,5152.4,,A,61.87,25229.658
30137,20211231,2021,INDL,C,D,STD,NKTR,USD,795.581,1117.189,679.508,185.468,321.163,338.604,-446.103,-433.103,1000.671,85.2,437.681,-523.837,-2837.152,101.907,,A,13.51,2505.6727
30222,20211231,2021,INDL,C,D,STD,ABCB,USD,,23858.321,2966.451,69.608,931.03,,638.204,670.394,3897.481,,20891.87,376.913,1022.026,1068.656,8.434,A,49.68,3458.1254
30259,20211231,2021,INDL,C,D,STD,PENN,USD,2223.6,16872.1,4072,170.215,11323.7,11605.1,1118.8,1463.3,15420.8,1133.2,12775,420.8,-140.9,5905,88.2,A,51.85,8825.6478
30260,20211231,2021,INDL,C,D,STD,SSD,USD,998.835,1484.125,1183.998,43.217,37.091,45.86,367.469,409.969,1221.089,244.602,300.127,266.447,889.236,1573.217,8.4,A,139.07,6010.1882
30293,20211231,2021,INDL,C,D,STD,ESS,USD,,12997.873,5993.603,65.248,6314.897,6358.085,597.467,,12526.071,,6786.699,488.554,-922.385,1651.021,,A,352.23,22982.303
30298,20211231,2021,INDL,C,D,STD,HIW,USD,,5695.138,2448.321,104.893,2616.21,2822.734,235.39,,5227.457,,3083.891,313.277,-580.589,771.634,,A,44.59,4677.1789
30312,20211231,2021,INDL,C,D,STD,IMAX,USD,,883.247,356.083,58.654,238.332,238.332,1.463,39.341,668.704,,452.875,-22.329,-228.516,254.883,,A,17.84,1046.3874
30384,20211231,2021,INDL,C,D,STD,FR,USD,,4179.098,2194.812,131.748,1303.148,1632.612,179.266,184.655,3551.52,,1930.726,270.997,-182.531,476.129,,A,66.2,8721.7176
30443,20211231,2021,INDL,C,D,STD,FDP,USD,1096.4,3398.1,1802.3,47.555,663.7,702,109.8,206.6,2537.2,629.2,1524.6,80,1260.8,4252,13.6,A,27.6,1312.518
30463,20210831,2021,INDL,C,D,STD,GBX,USD,,3390.668,1307.748,32.397,850.167,869.074,39.794,140.511,2356.302,,1884.533,32.477,838.027,1747.981,,A,45.89,1428.7077
30477,20210930,2021,INDL,C,D,STD,MATW,USD,624.165,2032.078,636.548,31.47,816.358,846.133,75.848,209.36,1452.761,354.225,1395.675,2.91,641.469,1671.03,,A,36.67,1091.6943
30490,20211231,2021,INDL,C,D,STD,AIV,USD,,2434.101,500.565,149.818,1615.927,1615.927,18.046,,2211.954,,1838.074,-5.91,-22.775,203.522,,A,7.72,1156.595
30536,20211231,2021,INDL,C,D,STD,GEO,USD,943.908,4537.408,976.211,122.471,3015.709,3062.556,295.542,430.719,3990.725,378.842,3562.392,77.418,-196.176,2256.612,,A,7.75,949.1503
30558,20211231,2021,INDL,C,D,STD,MLR,USD,328.968,438.847,288.536,11.411,0.87,1.246,23.619,34.655,289.406,144.271,150.311,16.255,136.973,717.476,,A,33.4,381.1274
30576,20211231,2021,INDL,C,D,STD,ADTN,USD,376.325,569.017,357.102,49.063,3.269,4.999,-14.289,1.795,360.371,155.359,211.915,-8.635,728.906,563.004,,A,22.83,1120.1083
30612,20211231,2021,INDL,C,D,STD,AMED,USD,356.684,1856.968,931.351,32.51,501.384,545.612,262.954,293.855,1477.707,374.282,880.645,209.072,639.063,2207.571,7.4,A,161.88,5262.7188
30651,20211231,2021,INDL,C,D,STD,DAR,USD,1089.014,6133.728,3280.96,160.792,1559.288,1621.863,534.059,850.446,4907.073,752.684,2785.943,650.914,2026.148,4741.369,,A,69.29,11141.2777
30662,20211231,2021,INDL,C,D,STD,SIRI,USD,1180,10274,-2625,3967,9194,9243,2035,2568,6569,2980,12899,1314,-2621,8696,515,A,6.35,25190.45
30822,20211231,2021,INDL,C,D,STD,O,USD,,43137.502,25052.574,591.262,14773.172,15044.272,924.131,,39902.572,,18008.102,359.456,-4525.638,2091.518,,A,71.59,42328.4466
30870,20210630,2021,INDL,C,D,STD,AZPN,USD,768.317,1454,800.757,67.912,302.861,329.612,362.919,373.176,1103.618,141.53,653.243,319.803,1787.159,709.376,6.2,A,152.2,9340.6165
30932,20211231,2021,INDL,C,D,STD,NWBI,USD,,14501.508,1583.571,126.612,310.355,,278.094,295.747,1893.926,,12917.937,154.323,571.9,536.07,8.237,A,14.16,1792.8259
30990,20211231,2021,INDL,C,D,STD,COF,USD,,432381,61029,413.859,35732,43751,16551,17355,96761,,371352,12390,51380,32033,,A,145.09,60046.8023
31368,20211231,2021,INDL,C,D,STD,HAFC,USD,,6858.587,643.417,30.407,352.218,,151.899,167.988,995.635,,6215.17,98.677,188.341,256.846,2.649,A,23.68,720.0378
31453,20211231,2021,INDL,C,D,STD,NSIT,USD,3568.311,4689.08,1509.227,34.897,420.012,440.715,330.427,385.848,1929.239,2515.257,3179.853,219.345,1140.596,9436.113,66.375,A,106.6,3720.0202
31460,20211231,2021,INDL,C,D,STD,RCII,USD,,2993.327,513.276,66.171,1858.984,1867.734,454.508,1841.076,2372.26,,2480.051,134.94,1131.276,4583.451,73.9,A,48.04,3178.8548
31564,20211231,2021,INDL,C,D,STD,ACIW,USD,937.434,3158.741,1244.777,115.73,1063.218,1120.606,223.297,356.69,2307.995,754.155,1913.964,127.791,1031.734,1370.598,,A,34.7,4015.831
31587,20210131,2020,INDL,C,D,STD,DLTR,USD,5050.8,20696,7285.3,233.383,8291.7,9639.9,2185.2,2864.4,15577,3730.3,13410.7,1341.9,5144.5,25509.3,80.8,A,108.04,23725.7158
31607,20211231,2021,INDL,C,D,STD,NATI,USD,931.549,2114.985,1223.697,132.294,330.468,343.605,143.25,243.25,1554.165,445.214,891.288,89.315,92.727,1469.681,20,A,43.67,5777.279
31673,20210930,2021,INDL,C,D,STD,ABC,USD,38802.609,57337.805,223.354,208.089,7329.866,7805.431,2675.011,3180.072,7914.277,41358.641,56753.394,1539.932,1225.071,213988.843,,A,132.89,24856.2311
31752,20211231,2021,INDL,C,D,STD,CBZ,USD,451.674,1627.934,704.548,52.038,300.659,331.245,103.14,130.218,1005.207,423.289,923.386,70.887,627.795,1104.925,,A,39.12,2035.7266
31764,20211231,2021,INDL,C,D,STD,BMRC,USD,,4314.209,450.368,15.929,25.848,,68.413,71.288,476.216,,3863.841,33.228,237.844,118.485,0.908,A,37.23,593.0367
31843,20211231,2021,INDL,C,D,STD,HLIT,USD,323.127,693.686,295.913,102.959,141.05,190.212,19.49,32.543,437.846,224.461,396.89,13.254,-2091.229,507.149,1,A,11.76,1210.7978
31846,20210531,2020,INDL,C,D,STD,DRI,USD,1871.1,10656.1,2813.1,130.763,5573.6,5757.7,687.3,1038.2,8386.7,1848.3,7843,629.3,526.5,7196.1,91.1,A,119.12,18729.1845
